feature,freaturea,featureb,feaurec,featured,featuref,featureg,featureh,featurei,featurej,featurek,featurel,featurem,featuren,featureo,outcome
0,503034.37,1,0,48,82,0,33.85,68,3,1,0.146125834,0,12.40765144,0.50303437,0
1,790335.75,67,0.432835821,0,123,0,2.71,101,2,28,0.127217821,41105.43,856.6708622,0.79033575,0
0,1401177.6,1,0,19,82,0,140.2,141,3,1,0.16672974,0,14002.49781,1.4011776,0
0,287564.38,1,0,63,123,0,98.45,197,2,1,0.291129028,0,9420.633605,0.28756438,0
0,422659.04,1,0,28,125,0,337.19,338,1,1,0.185608891,0,380.0508014,0.42265904,0
0,82618.4,78,0.333333333,42,32,0,2.62,118,2,29,0.130330409,4409.79,212.5113749,0.0826184,0
1,1990008.51,45,0.355555556,0,32,0,4.08,98,2,3,0.268287344,855.85,43181.16237,1.99000851,0
1,623660.98,2,0,0,90,0,73.85,148,1,1,0.293749241,0,2357.97967,0.62366098,0
0,839772.92,5,0.2,45,125,0,34.55,104,1,1,0.276068826,1189.35,123.6230811,0.83977292,0
0,406532.06,14,0.357142857,52,123,0,17.92,180,1,1,0.293266302,2006.99,1354.893297,0.40653206,0
2,1062933875,5,0.6,0,32,0,29.17,59,2,1,0.070873831,0,86232.50105,1062.933875,0
2,38949781.65,9,0.444444444,0,125,0,9.56,48,1,3,0.122775796,401.2,449497.5884,38.94978165,0
0,53105.79,17,0.235294118,43,166,0,13.07,105,2,8,0.210955987,481.24,99.90115369,0.05310579,0
1,7417641.04,1,0,0,123,0,69.54,140,2,1,0.131592973,7417641.04,63316.65072,7.41764104,0
0,4526.76,56,0.321428571,64,32,0,3.18,74,3,5,0.217783601,759.36,7.384041635,0.00452676,0
0,572286.5,2,0,50,82,0,53,107,2,1,0.246335301,572286.5,690.8755805,0.5722865,0
0,457524.58,5,0.2,90,123,0,16.06,65,3,2,0.134144484,3772.4,453.2788886,0.45752458,0
0,199465.31,96,0.229166667,74,32,0,1.92,98,3,30,0.182384993,7910.56,2341.059275,0.19946531,0
0,1553.82,1,0,74,90,0,209.38,210,2,1,0.106132263,0,19.6975509,0.00155382,0
0,2498778.3,15,0.333333333,31,123,0,9.88,89,3,2,0.4296986,68.52,3255.231907,2.4987783,0
0,6556.82,10,0.2,17,82,0,20.6,124,1,7,0.387512968,419.76,118.2530886,0.00655682,0
0,451875.82,162,0.296296296,22,32,0,1.09,72,1,3,0.422493312,7690.36,137.78387,0.45187582,0
2,20319026.09,47,0.29787234,0,90,0,3.99,88,2,24,0.053415675,651079.9,9390.416649,20.31902609,0
0,44528.57,27,0.222222222,50,90,0,5.33,80,1,18,0.850849587,8398.18,191.9570207,0.04452857,0
1,2101857.51,2,0.5,0,32,0,77.77,156,1,1,0.398159426,96612.42,4312.413243,2.10185751,0
2,1968242.57,27,0.37037037,0,125,0,5.66,108,3,10,0.059914685,225.43,805.3962439,1.96824257,0
0,423871.67,2,0,38,123,0,50.66,152,2,1,0.08222787,0,8981.136981,0.42387167,0
0,1008182.54,42,0.214285714,24,186,0,4.73,100,2,3,0.212473288,3324.38,4430.221341,1.00818254,0
1,190396.78,3,0.666666667,0,32,0,16.97,51,1,2,0.051059017,11009.92,462.3660228,0.19039678,0
1,7619.49,2,0,0,82,0,38.96,78,2,1,0.18132034,0,40.13171755,0.00761949,0
2,91976079.74,2,1,0,123,0,79.96,160,4,1,0.222651641,2428801.21,0,91.97607974,0
0,1544912.45,94,0.308510638,68,82,0,1.92,102,4,31,0.190561514,1769.5,307.2117319,1.54491245,0
1,13718028.39,67,0.402985075,0,82,0,1.99,82,1,8,0.463718231,0,23381.28903,13.71802839,0
0,690866.52,41,0.341463415,61,32,0,3.45,83,2,9,0.109034466,104086.41,573.6865408,0.69086652,0
1,1380976.56,26,0.346153846,0,123,0,8.23,99,1,1,0.010454,92386.38,6296.067992,1.38097656,0
1,404485.2,127,0.354330709,0,32,0,1.43,91,1,40,0.484343817,61005.67,661.9993071,0.4044852,0
1,6811271.76,1,0,0,82,0,8.61,9,2,1,0.09920727,0,26636.82678,6.81127176,0
2,48660722.74,11,0.545454545,0,90,0,13.19,80,3,8,0.03741305,18114.47,594264.9763,48.66072274,0
1,756694.75,3,0.666666667,0,125,0,47.32,190,2,1,0.647079719,3342.51,6.169932326,0.75669475,0
0,48926.23,1,1,42,123,0,106.36,107,2,1,0.178867191,1105.86,0,0.04892623,0
2,0.29,1,0,0,90,0,92.79,93,1,1,0.138966231,0,0.000402224,2.9e-07,0
2,2646783.5,3,0.333333333,0,90,0,51.84,156,2,1,0.285610615,353099.63,1990.835208,2.6467835,0
0,114264.13,4,0,48,82,0,77.45,155,3,2,0.025326467,114264.13,1090.628759,0.11426413,0
1,2327115.33,1,0,0,125,0,24.88,25,2,1,0.689705796,0,5768.898117,2.32711533,0
1,51242.33,75,0.32,0,32,0,2.88,96,1,6,0.234049381,1490.99,405.5851671,0.05124233,0
0,209802.7,1,1,49,125,0,91.64,92,3,1,0.413027746,671.09,0,0.2098027,0
0,270545.79,111,0.324324324,20,32,0,1.57,92,2,7,0.084514501,373.98,1910.138036,0.27054579,0
0,443796.38,3,0.333333333,56,90,0,53.92,54,3,1,0.22153067,30319.62,201.9803762,0.44379638,0
0,1042067.09,45,0.288888889,63,32,0,4.2,97,1,16,0.34544627,17275.73,2413.645808,1.04206709,0
0,18048.75,1,1,37,32,0,153.5,308,4,1,0.153699636,564.15,0,0.01804875,0
1,2053118.63,51,0.411764706,0,123,0,2.6,68,1,9,0.184163577,9202.24,6502.049593,2.05311863,0
0,1554522.41,2,0,42,82,0,66.23,199,2,1,0.06933856,1554522.41,2324.340595,1.55452241,0
0,61775.25,1,0,24,90,0,103.29,104,1,1,0.087265992,61775.25,251.6099086,0.06177525,0
0,1326105.92,28,0.285714286,30,123,0,5.23,84,1,3,0.275486397,104825.36,12107.25316,1.32610592,0
2,84.42,1,0,0,82,0,156.63,314,4,1,0.259836553,84.42,0.424009003,8.442e-05,0
2,16584505.52,1,0,0,90,0,120.23,121,1,1,0.072131813,0,227665.4959,16.58450552,0
0,635214.26,1,0,65,32,0,55.26,56,2,1,0.1040922,0,203.0670192,0.63521426,0
2,7424949.52,19,0.421052632,0,32,0,6.94,42,2,1,0.043297885,366864.31,20760.70843,7.42494952,0
0,1731776.97,121,0.247933884,77,125,0,1.66,88,1,35,0.148109374,331.85,1136.242277,1.73177697,0
0,5473.74,52,0.365384615,43,32,0,3.25,75,2,45,0.095997849,336.11,50.95232251,0.00547374,0
0,30249.71,15,0.466666667,64,186,0,9.92,120,3,8,0.546387304,51.51,4.226037707,0.03024971,0
0,193540.46,15,0.333333333,28,82,0,12.74,115,1,4,0.314908525,1808.06,2451.647208,0.19354046,0
2,46832641.56,2,1,0,123,0,71.35,72,2,1,0.048137123,1319399.84,0,46.83264156,0
0,9602.03,97,0.288659794,23,123,0,2.13,98,1,5,0.234372403,1318.66,6.722807815,0.00960203,0
0,2916442,1,0,35,82,0,5.94,6,2,1,0.218105108,0,5915.540328,2.916442,0
0,409777.49,200,0.33,62,186,0,0.8,80,2,2,0.179857316,1180.36,26.09346458,0.40977749,0
0,566450.53,4,0.25,13,90,0,28.64,86,3,1,0.309856538,5052.4,807.1653343,0.56645053,0
1,38384326.93,173,0.398843931,0,32,0,1.22,97,2,1,0.351489526,5367.43,52628.38807,38.38432693,0
1,294000.83,4,0.25,0,32,0,32.03,33,2,1,0.348734313,299.17,305.2265251,0.29400083,0
1,7388995.59,2,0,0,90,0,146.77,441,1,1,0.385959151,0,2737.917122,7.38899559,0
0,118505.78,16,0.25,37,125,0,10.66,86,1,1,0.277249176,3987.47,319.6393175,0.11850578,0
0,83353.61,5,0.2,60,82,0,27.69,111,2,1,0.290304808,650.99,138.2845262,0.08335361,0
1,3841,1,1,0,82,0,180.28,181,2,1,0.523826126,1363.19,0,0.003841,0
1,21143002.13,1,0,0,82,0,101.04,102,1,1,0.436092879,0,98291.08816,21.14300213,0
1,1724202.36,326,0.392638037,0,123,0,0.54,83,2,74,0.51536863,25960.58,3.683376317,1.72420236,0
0,290512.02,1,0,44,32,0,116.58,117,1,1,0.386035661,0,4302.97806,0.29051202,0
2,19571537.68,1,0,0,123,0,71.85,72,1,1,0.079992951,0,23697.0908,19.57153768,0
0,1368261.97,5,0.4,102,186,0,33.57,135,3,1,0.107246156,8335.32,3058.55516,1.36826197,0
0,317518.45,34,0.352941176,26,82,0,3.86,70,1,1,0.00824451,5664.86,2469.423758,0.31751845,0
0,91287.11,17,0.235294118,56,123,0,13.45,95,2,2,0.095337631,1761.5,563.6274292,0.09128711,0
0,323532.96,29,0.24137931,66,33,0,6.61,113,2,8,0.090741158,25587.73,612.014888,0.32353296,0
0,835708.13,2,0.5,24,123,0,42.79,86,2,1,0.247024744,3189.1,55.45088134,0.83570813,0
0,186609.41,21,0.380952381,22,125,0,5.88,53,4,4,0.139297792,123.46,441.4466483,0.18660941,0
1,499013.54,57,0.368421053,0,82,0,3.21,90,3,7,0.920318379,4001.87,6032.84585,0.49901354,0
0,1190855.74,1,0,12,90,0,163.51,164,2,1,0.224596688,1190855.74,446.4644457,1.19085574,0
1,5161.52,1,1,0,32,0,11.31,23,2,1,0.57211228,1292.5,0,0.00516152,0
0,40855.63,2,0.5,32,82,0,96.53,194,2,1,0.173909455,5660.58,94.19671044,0.04085563,0
0,460350.06,1,0,64,90,0,29.52,30,5,1,0.516085472,0,168.9854027,0.46035006,0
0,293823.69,103,0.233009709,24,82,0,1.83,79,3,19,0.233030131,12514.77,93.0448444,0.29382369,0
2,12656743.88,79,0.455696203,0,90,0,2.18,77,1,2,0.177947744,521329.08,20220.78057,12.65674388,0
0,1596132,5,0,57,125,0,16.48,66,1,1,0.039917596,1596132,27379.25205,1.596132,0
0,485037.21,3,0.666666667,75,82,0,68.27,137,1,1,0.603044679,191.71,73.40746607,0.48503721,0
0,1707005.98,1,0,63,125,0,25.89,52,2,1,0.265443916,0,8400.931451,1.70700598,0
2,224672.05,65,0.446153846,0,33,0,3.37,122,2,18,0.22114344,1560.95,184.4174182,0.22467205,0
0,1675389.41,65,0.353846154,26,82,0,2.17,72,2,2,0.383806964,52856.51,3762.37028,1.67538941,0
0,12678.98,1,0,58,82,0,92.67,93,2,1,0.325972258,12678.98,8.671001519,0.01267898,0
0,19171.19,2,0.5,23,123,0,58.47,117,3,1,0.130606714,432.5,24.99814263,0.01917119,0
0,415380.1,2,0,52,82,0,50.52,102,2,1,0.092976318,415380.1,37.27297252,0.4153801,0
0,60401.33,21,0.238095238,39,82,0,7.66,92,2,2,0.061864376,7674.19,607.0720024,0.06040133,0
0,3181.69,1,0,42,125,0,122.7,123,2,1,0.096803028,0,69.20517798,0.00318169,0
0,6646210.26,34,0.294117647,27,82,0,4.95,114,1,2,0.2593524,32741.09,22433.71635,6.64621026,0
0,55407.7,76,0.289473684,29,125,0,2.53,76,3,17,0.285832004,3037.23,8.790295945,0.0554077,0
0,26074.56,1,0,58,123,0,39.4,40,3,1,0.111926301,0,3.501960237,0.02607456,0
0,18687.55,1,0,46,123,0,222.95,446,3,1,0.29168754,0,23.77119148,0.01868755,0
1,325655.23,1,1,0,82,0,62.16,125,1,1,0.493992772,69240.95,0,0.32565523,0
2,118296878.7,1,0,0,90,0,121.66,244,1,1,0.155979445,0,792229.6279,118.2968787,0
1,21507.79,18,0.333333333,0,90,0,9.9,100,3,3,0.065819873,630.65,32.82299965,0.02150779,0
0,93764.25,3,0.333333333,66,32,0,58.07,59,1,1,0.341834381,1706.73,44.99020385,0.09376425,0
0,150009.61,1,0,50,32,0,84.21,169,2,1,0.178073074,0,1975.570839,0.15000961,0
0,1987845.06,1,0,45,33,0,134.74,270,1,1,0.303120111,1987845.06,91630.70164,1.98784506,0
1,9133446.55,9,0.333333333,0,90,0,22.31,112,2,2,0.032992535,2387.84,2481.984631,9.13344655,0
0,37091.59,103,0.223300971,11,186,0,1.5,74,2,31,0.341870476,5954.17,1.932636207,0.03709159,0
0,752779.37,38,0.210526316,70,82,0,4.6,70,1,3,0.174919004,1099.48,8208.333277,0.75277937,0
0,2460405.37,5,0.2,51,32,0,54.89,165,1,3,0.050393651,28382.31,514.8945918,2.46040537,0
0,48278.45,61,0.180327869,46,90,0,3,88,3,1,0.235087948,4133.63,860.4282994,0.04827845,0
0,404046.9,1,0,19,186,0,176.05,353,2,1,0.377905684,0,6143.783295,0.4040469,0
0,2214806.17,77,0.350649351,31,82,0,2.79,107,4,3,0.262610725,4776.04,29256.98828,2.21480617,0
0,1446803.64,14,0.214285714,51,32,0,13.21,159,1,2,0.092534181,85628.49,3110.751926,1.44680364,0
0,163178.81,36,0.361111111,37,32,0,4.53,78,1,7,0.475960918,9000.17,123.1409533,0.16317881,0
0,7894.34,1,0,53,82,0,187.59,376,1,1,0.396092639,7894.34,301.6410524,0.00789434,0
0,367.81,62,0.14516129,69,82,0,2.8,90,3,4,0.010971634,138.66,9.581029431,0.00036781,0
1,542574.34,35,0.428571429,0,90,0,4.69,94,4,4,0.765869891,7.99,2843.937768,0.54257434,0
0,787896.9,1,0,31,166,0,81.08,82,1,1,0.314160308,0,127.6090081,0.7878969,0
0,316160.79,1,0,27,82,0,66.25,67,1,1,0.068706882,0,2804.574353,0.31616079,0
2,86637.63,24,0.333333333,0,123,0,7.49,120,3,1,0.243735077,8258.61,202.9693962,0.08663763,0
0,346023.86,2,0,31,123,0,70.44,212,2,1,0.128317627,346023.86,19.86280746,0.34602386,0
0,4122471.06,1,1,33,125,0,55.57,112,3,1,0.167046609,24852.87,0,4.12247106,0
0,380560.61,5,0.4,60,82,0,20.63,62,1,1,0.157257973,24125.48,336.3803227,0.38056061,0
2,4504744.37,9,0.333333333,0,125,0,23.55,142,2,4,0.132459407,467338.65,5774.763078,4.50474437,0
1,15454311.28,4,0.75,0,90,0,44.98,180,2,2,0.348667588,72106.19,1813.716335,15.45431128,0
0,5806.26,50,0.24,67,125,0,4.23,115,1,14,0.159136778,480.81,0.833659279,0.00580626,0
0,17962.61,1,0,57,32,0,64.66,65,3,1,0.114171857,17962.61,40.48070405,0.01796261,0
2,11433450.96,6,0.333333333,0,82,0,9.61,20,1,1,0.039128851,68019.76,40296.08474,11.43345096,0
1,1035054.48,1,0,0,186,0,59.52,60,1,1,0.531723987,0,7019.861658,1.03505448,0
2,4714560.92,17,0.352941176,0,82,0,9.6,97,1,7,0.229139375,791306.72,2417.871194,4.71456092,0
0,543484.44,1,0,40,82,0,214.35,429,2,1,0.63272649,543484.44,1197.59321,0.54348444,0
0,7710446.87,5,0.2,42,82,0,18.93,19,2,4,0.183492807,740258.03,25048.82587,7.71044687,0
0,768355.79,80,0.3875,61,166,0,1.89,78,1,7,0.171791251,19275.96,157.958472,0.76835579,0
0,518808.34,1,1,60,32,0,65.54,132,3,1,0.145871942,26704.74,0,0.51880834,0
1,4741756.99,1,0,0,90,0,48.66,49,2,1,0.418055907,0,1517.250417,4.74175699,0
0,1336967.8,5,0.4,45,90,0,26.34,80,3,1,0.435128138,116416.22,8411.904608,1.3369678,0
2,18639490.45,1,0,0,186,0,110.41,221,3,1,0.108926546,18639490.45,36.83698795,18.63949045,0
0,967446.06,27,0.222222222,58,125,0,6.65,107,1,8,0.129087695,25858.04,10060.49451,0.96744606,0
1,47797075.08,165,0.387878788,0,82,0,1.01,95,4,23,0.686151259,430129.04,416249.8527,47.79707508,0
1,16998157.56,2,0.5,0,82,0,100.09,301,2,1,0.315650852,1020036.26,52818.53316,16.99815756,0
0,467220.58,84,0.214285714,30,82,0,1.95,65,3,9,0.167649906,143.15,0.011036874,0.46722058,0
1,118129.67,1,1,0,33,0,152.69,306,1,1,0.056768392,6368.88,0,0.11812967,0
0,21127.68,1,1,59,166,0,43.34,44,3,1,0.228138343,2717.05,0,0.02112768,0
0,1165744.75,2,1,53,82,0,116.48,233,2,1,0.264647465,231016.06,0,1.16574475,0
